(ai_flight_node_env) pi@ubuntu:~/swarm-ros$ deactivate
pi@ubuntu:~/swarm-ros$ ros2 run swarm_ai_integration ai_adapter_simulator_node.py
================================================================================
🤖 AI ADAPTER NODE INITIALIZED - DEBUG MODE
================================================================================
📡 SUBSCRIBING TO:
   • /fc/gps_fix            (sensor_msgs/NavSatFix)            → position [lat,lon,alt]
   • /fc/attitude           (geometry_msgs/QuaternionStamped)  → orientation quaternion
   • /fc/attitude_euler     (geometry_msgs/Vector3Stamped)     → orientation Euler [rad]
   • /fc/imu_raw            (sensor_msgs/Imu)                   → angular velocity
   • /fc/gps_speed_course   (std_msgs/Float32MultiArray[2])     → [speed_mps, course_deg]
   • /fc/waypoint           (std_msgs/Float32MultiArray[7])     → goal [lat,lon,alt]
   • /lidar_distance        (sensor_msgs/Range)                 → LiDAR down ray
   • /ai/action             (std_msgs/Float32MultiArray[4])     → AI actions
📤 PUBLISHING TO:
   • /ai/observation        (std_msgs/Float32MultiArray)        → 131-D observation
   • /ai/observation_debug  (std_msgs/Float32MultiArray)        → debug vector
⚙️  CONFIGURATION:
   • Observation rate: ~30.0 Hz
   • Action buffer size: 20 actions
   • Max ray distance: 20.0 m (for normalization)
   • Relative start ENU: [0.0, 0.0, 3.0] m
================================================================================
[INFO] [1760510074.391445963] [ai_adapter_simulated_node]: Sim origin=(37.2486496, -5.3724275, 179.00) | start_relENU=(0.00,0.00,3.00) | goal_relENU=(5.00,5.00,3.00)
[INFO] [1760510074.399285099] [ai_adapter_simulated_node]: 🚁 Iter 0001 | Pos=[  0.00,   0.00,   3.00] | →Goal=  7.07m | Traveled=  0.00m | Action=[ 0.00,  0.00,  0.00, spd=0.00]
[INFO] [1760510074.487418353] [ai_adapter_simulated_node]: 🚁 Iter 0002 | Pos=[  0.00,   0.00,   3.00] | →Goal=  7.07m | Traveled=  0.00m | Action=[ 0.00,  0.00,  0.00, spd=0.00]
[INFO] [1760510074.586456722] [ai_adapter_simulated_node]: 🚁 Iter 0003 | Pos=[  0.00,   0.00,   3.00] | →Goal=  7.07m | Traveled=  0.00m | Action=[ 0.00,  0.00,  0.00, spd=0.00]
[INFO] [1760510074.686087172] [ai_adapter_simulated_node]: 🚁 Iter 0004 | Pos=[  0.00,   0.00,   3.00] | →Goal=  7.07m | Traveled=  0.00m | Action=[ 0.00,  0.00,  0.00, spd=0.00]
[INFO] [1760510074.786051787] [ai_adapter_simulated_node]: 🚁 Iter 0005 | Pos=[  0.00,   0.00,   3.00] | →Goal=  7.07m | Traveled=  0.00m | Action=[ 0.00,  0.00,  0.00, spd=0.00]
[INFO] [1760510074.887022284] [ai_adapter_simulated_node]: 🚁 Iter 0006 | Pos=[  0.00,   0.00,   3.00] | →Goal=  7.07m | Traveled=  0.00m | Action=[ 0.00,  0.00,  0.00, spd=0.00]
[INFO] [1760510074.985702476] [ai_adapter_simulated_node]: 🚁 Iter 0007 | Pos=[  0.00,   0.00,   3.00] | →Goal=  7.07m | Traveled=  0.00m | Action=[ 0.00,  0.00,  0.00, spd=0.00]
[INFO] [1760510075.081191692] [ai_adapter_simulated_node]: 🚁 Iter 0008 | Pos=[  0.06,   0.02,   3.01] | →Goal=  7.01m | Traveled=  0.06m | Action=[ 0.98,  0.41,  0.16, spd=0.42]
[INFO] [1760510075.181202505] [ai_adapter_simulated_node]: 🚁 Iter 0009 | Pos=[  0.12,   0.05,   3.02] | →Goal=  6.96m | Traveled=  0.13m | Action=[ 0.99,  0.41,  0.16, spd=0.42]
[INFO] [1760510075.281172640] [ai_adapter_simulated_node]: 🚁 Iter 0010 | Pos=[  0.17,   0.07,   3.03] | →Goal=  6.90m | Traveled=  0.19m | Action=[ 0.99,  0.40,  0.15, spd=0.42]
[INFO] [1760510075.386872702] [ai_adapter_simulated_node]: 🚁 Iter 0011 | Pos=[  0.23,   0.09,   3.04] | →Goal=  6.84m | Traveled=  0.25m | Action=[ 0.99,  0.39,  0.15, spd=0.42]
